task_id,model,condition,completeness,false_completion,items_found,items_partial,items_expected,items_missing,num_turns
19,claude,c3,0.4286,True,6,0,14,8,14
20,claude,c3,1.0,False,20,0,18,1,17
01,qwen,c1,1.0,False,18,0,18,0,2
02,qwen,c1,0.875,True,9,3,12,0,2
03,qwen,c1,1.0,False,16,0,16,0,6
04,qwen,c1,0.913,False,19,4,23,0,3
05,qwen,c1,1.0,False,15,0,15,0,2
06,qwen,c1,1.0,False,20,0,20,0,3
07,qwen,c1,1.0,False,14,0,14,0,2
08,qwen,c1,1.0,False,13,0,13,0,3
09,qwen,c1,0.9091,False,10,0,11,1,2
10,qwen,c1,1.0,False,16,6,15,0,7
11,qwen,c1,1.0,False,16,0,16,0,8
12,qwen,c1,1.0,False,12,0,12,0,9
13,qwen,c1,1.0,False,15,0,15,0,8
14,qwen,c1,1.0,False,13,0,13,0,19
15,qwen,c1,0.6429,True,9,0,14,5,19
16,qwen,c1,0.6471,True,4,14,17,0,2
17,qwen,c1,1.0,False,16,0,16,0,3
18,qwen,c1,1.0,False,16,0,15,0,2
19,qwen,c1,0.7857,True,11,0,14,3,2
20,qwen,c1,1.0,False,21,0,18,0,3
01,qwen,c2,1.0,False,18,0,18,0,3
02,qwen,c2,0.7083,True,5,7,12,0,2
03,qwen,c2,1.0,False,16,0,16,0,3
04,qwen,c2,0.8478,True,16,7,23,0,2
05,qwen,c2,1.0,False,15,0,15,0,3
06,qwen,c2,1.0,False,20,0,20,0,2
07,qwen,c2,1.0,False,14,0,14,0,3
08,qwen,c2,1.0,False,13,0,13,0,2
09,qwen,c2,0.5455,True,6,0,11,5,2
10,qwen,c2,1.0,False,18,4,15,0,2
11,qwen,c2,1.0,False,16,0,16,0,27
12,qwen,c2,0.75,True,9,0,12,3,74
13,qwen,c2,1.0,False,15,0,15,0,17
14,qwen,c2,1.0,False,13,0,13,0,28
15,qwen,c2,0.7857,True,11,0,14,3,3
16,qwen,c2,0.6176,True,3,15,17,0,2
17,qwen,c2,1.0,False,16,0,16,0,4
18,qwen,c2,1.0,False,16,0,15,0,4
19,qwen,c2,0.7143,True,10,0,14,4,2
20,qwen,c2,1.0,False,21,0,18,0,2
01,qwen,c3,1.0,False,18,0,18,0,3
02,qwen,c3,0.75,True,6,6,12,0,4
03,qwen,c3,1.0,False,16,0,16,0,3
04,qwen,c3,0.913,False,19,4,23,0,3
05,qwen,c3,1.0,False,15,0,15,0,3
06,qwen,c3,1.0,False,20,0,20,0,3
07,qwen,c3,1.0,False,14,0,14,0,2
08,qwen,c3,1.0,False,13,0,13,0,2
09,qwen,c3,0.7273,True,8,0,11,3,2
10,qwen,c3,1.0,False,16,6,15,0,6
11,qwen,c3,1.0,False,16,0,16,0,22
12,qwen,c3,0.25,True,3,0,12,9,25
13,qwen,c3,1.0,False,15,0,15,0,15
14,qwen,c3,1.0,False,13,0,13,0,22
15,qwen,c3,0.7857,True,11,0,14,3,22
16,qwen,c3,0.6471,True,4,14,17,0,3
17,qwen,c3,1.0,False,16,0,16,0,4
18,qwen,c3,1.0,False,16,0,15,0,3
19,qwen,c3,0.5714,True,8,0,14,6,2
20,qwen,c3,1.0,False,21,0,18,0,2
